,address,City,State,Zip
1,136-45 37 AVENUE,New York City,NY, 
2,35-14 149 STREET,New York City,NY, 
8,140-30 BEECH AVENUE,New York City,NY, 
9,144-40 ROOSEVELT AVENUE,New York City,NY, 
10,41-90 FRAME PLACE,New York City,NY, 
12,142-01 41 AVENUE,New York City,NY, 
28,64-33 98 STREET,New York City,NY, 
37,79-11 41 AVENUE,New York City,NY, 
45,138-52 ELDER AVENUE,New York City,NY, 
48,142-09 BARCLAY AVENUE,New York City,NY, 
50,109-19 72 AVENUE,New York City,NY, 
51,142-10 ROOSEVELT AVENUE,New York City,NY, 
53,150-05 UNION TURNPIKE,New York City,NY, 
58,109-05 QUEENS BOULEVARD,New York City,NY, 
65,111-46 76 DRIVE,New York City,NY, 
66,35-28 153 STREET,New York City,NY, 
70,134-38 MAPLE AVENUE,New York City,NY, 
72,143-45 SANFORD AVENUE,New York City,NY, 
74,12-68 150 STREET,New York City,NY, 
75,133-01 BOOTH MEMORIAL AVE,New York City,NY, 
77,119-59 27 AVENUE,New York City,NY, 
80,33-39 MURRAY STREET,New York City,NY, 
81,211-01 42 AVENUE,New York City,NY, 
82,218-05 HILLSIDE AVENUE,New York City,NY, 
83,213-21 HILLSIDE AVENUE,New York City,NY, 
85,209-03 HILLSIDE AVENUE,New York City,NY, 
87,89-29 163 STREET,New York City,NY, 
91,65-06 163 STREET,New York City,NY, 
97,88-20 WOODHAVEN BOULEVARD,New York City,NY, 
98,71-66 69 STREET,New York City,NY, 
101,88-06 PARSONS BOULEVARD,New York City,NY, 
103,89-15 144 STREET,New York City,NY, 
104,79-05 147 STREET,New York City,NY, 
109,186-08 120 ROAD,New York City,NY, 
110,58-38 182 STREET,New York City,NY, 
114,103-25 121 STREET,New York City,NY, 
115,137-39 90 AVENUE,New York City,NY, 
116,23-11 CORNAGA AVENUE,New York City,NY, 
118,115 STUYVESANT PLACE,New York City,NY, 
119,155 PROSPECT AVENUE,New York City,NY, 
120,141 ST MARKS PLACE,New York City,NY, 
121,630 VICTORY BOULEVARD,New York City,NY, 
123,460 BRIELLE AVENUE,New York City,NY, 
129,220 OSGOOD AVENUE,New York City,NY, 
130,700 VICTORY BOULEVARD,New York City,NY, 
132,585 NORTH RAILROAD AVENUE,New York City,NY, 
139,30 DANIEL LOW TERRACE,New York City,NY, 
140,20 LOCKMAN LOOP,New York City,NY, 
141,50 HARBOR LOOP,New York City,NY, 
142,454 VAN DUZER STREET,New York City,NY, 
146,650 VICTORY BOULEVARD,New York City,NY, 
152,800 5 AVENUE,New York City,NY, 
162,107 UNIVERSITY PLACE,New York City,NY, 
163,53 EAST 95 STREET,New York City,NY, 
164,328 WEST 85 STREET,New York City,NY, 
168,511 EAST 80 STREET,New York City,NY, 
169,108 EAST 81 STREET,New York City,NY, 
171,330 EAST 58 STREET,New York City,NY, 
184,20 BEEKMAN PLACE,New York City,NY, 
188,24 KING STREET,New York City,NY, 
189,141 WEST 16 STREET,New York City,NY, 
194,55 WEST 25 STREET,New York City,NY, 
196,502 HUDSON STREET,New York City,NY, 
199,207 EAST 30 STREET,New York City,NY, 
204,20 5 AVENUE,New York City,NY, 
207,2527 BROADWAY,New York City,NY, 
208,2 EAST 75 STREET,New York City,NY, 
209,35 EAST 35 STREET,New York City,NY, 
216,15A WEST 64 STREET,New York City,NY, 
217,27 WEST 16 STREET,New York City,NY, 
219,911 8 AVENUE,New York City,NY, 
220,1700 YORK AVENUE,New York City,NY, 
221,420 WEST END AVENUE,New York City,NY, 
222,207 EAST 29 STREET,New York City,NY, 
228,25 WEST 68 STREET,New York City,NY, 
232,19 EAST 21 STREET,New York City,NY, 
234,112 SULLIVAN STREET,New York City,NY, 
235,30 GRAND STREET,New York City,NY, 
239,312 WEST 20 STREET,New York City,NY, 
240,330 EAST 52 STREET,New York City,NY, 
242,290 3 AVENUE,New York City,NY, 
243,310 WEST 93 STREET,New York City,NY, 
249,110 BANK STREET,New York City,NY, 
250,102 WEST 79 STREET,New York City,NY, 
252,242 EAST 72 STREET,New York City,NY, 
255,134 WEST 58 STREET,New York City,NY, 
258,1588 3 AVENUE,New York City,NY, 
260,192 MOTT STREET,New York City,NY, 
265,76 IRVING PLACE,New York City,NY, 
267,160 WEST 73 STREET,New York City,NY, 
271,2161 BROADWAY,New York City,NY, 
276,305 EAST 63 STREET,New York City,NY, 
278,956 2 AVENUE,New York City,NY, 
281,608 WEST 115 STREET,New York City,NY, 
282,93 3 AVENUE,New York City,NY, 
284,225 WEST 23 STREET,New York City,NY, 
285,1510 YORK AVENUE,New York City,NY, 
286,175 2 AVENUE,New York City,NY, 
288,321 WEST 80 STREET,New York City,NY, 
289,229 MULBERRY STREET,New York City,NY, 
290,41 EAST 7 STREET,New York City,NY, 
291,214 EAST 51 STREET,New York City,NY, 
294,332 EAST 66 STREET,New York City,NY, 
298,13 WEST 100 STREET,New York City,NY, 
301,542 EAST 79 STREET,New York City,NY, 
303,58 WEST 68 STREET,New York City,NY, 
306,131 EAST 23 STREET,New York City,NY, 
310,128 7 AVENUE,New York City,NY, 
311,420 EAST 80 STREET,New York City,NY, 
314,107 EAST 80 STREET,New York City,NY, 
315,342 EAST 49 STREET,New York City,NY, 
318,152 MANHATTAN AVENUE,New York City,NY, 
320,19 EAST 109 STREET,New York City,NY, 
321,320 EAST 65 STREET,New York City,NY, 
322,269 AMSTERDAM AVENUE,New York City,NY, 
323,70 EAST 3 STREET,New York City,NY, 
325,309 LEXINGTON AVENUE,New York City,NY, 
326,337 WEST 30 STREET,New York City,NY, 
327,217 WEST 16 STREET,New York City,NY, 
330,181 EAST BROADWAY,New York City,NY, 
331,330 WEST 55 STREET,New York City,NY, 
333,405 EAST 56 STREET,New York City,NY, 
337,355 WEST 51 STREET,New York City,NY, 
339,342 9 AVENUE,New York City,NY, 
340,992 AMSTERDAM AVENUE,New York City,NY, 
341,195 AVENUE A,New York City,NY, 
342,106 CHRISTOPHER STREET,New York City,NY, 
344,752 BROADWAY,New York City,NY, 
349,218 THOMPSON STREET,New York City,NY, 
356,337 WEST 21 STREET,New York City,NY, 
359,809 GREENWICH STREET,New York City,NY, 
360,2621 BROADWAY,New York City,NY, 
365,303 EAST 89 STREET,New York City,NY, 
370,110 EAST 13 STREET,New York City,NY, 
371,814 10 AVENUE,New York City,NY, 
373,40 WEST 86 STREET,New York City,NY, 
375,206 AVENUE B,New York City,NY, 
376,120 EAST 34 STREET,New York City,NY, 
379,245 WEST 75 STREET,New York City,NY, 
381,870 8 AVENUE,New York City,NY, 
382,302 MOTT STREET,New York City,NY, 
384,110 WEST 69 STREET,New York City,NY, 
387,454 WEST 47 STREET,New York City,NY, 
388,258 EAST 78 STREET,New York City,NY, 
389,110 WEST 96 STREET,New York City,NY, 
393,2660 BROADWAY,New York City,NY, 
394,305 WEST 13 STREET,New York City,NY, 
396,1067 MADISON AVENUE,New York City,NY, 
397,24 CHRISTOPHER STREET,New York City,NY, 
398,21 ESSEX STREET,New York City,NY, 
399,409 WEST 24 STREET,New York City,NY, 
406,303 EAST 5 STREET,New York City,NY, 
407,230 MOTT STREET,New York City,NY, 
410,2350 BROADWAY,New York City,NY, 
411,2501 BROADWAY,New York City,NY, 
412,151 LEXINGTON AVENUE,New York City,NY, 
414,239 EAST 13 STREET,New York City,NY, 
415,510 AMSTERDAM AVENUE,New York City,NY, 
417,46 AVENUE B,New York City,NY, 
418,431 CENTRAL PARK WEST,New York City,NY, 
419,510 EAST 85 STREET,New York City,NY, 
420,247 ELDRIDGE STREET,New York City,NY, 
422,11 EAST 66 STREET,New York City,NY, 
426,217 EAST 88 STREET,New York City,NY, 
427,140 WEST 79 STREET,New York City,NY, 
428,311 EAST 72 STREET,New York City,NY, 
437,2586 BROADWAY,New York City,NY, 
441,57 WEST 55 STREET,New York City,NY, 
443,155 EAST 88 STREET,New York City,NY, 
