,geoid,year_x,NAME_x,B01001_001E_x,B19013_001E_x,B25077_001E_x,B03002_003E_x,B03002_004E_x,B02001_004E_x,B03002_006E_x,B03002_007E_x,B03002_008E_x,B03002_009E_x,B03002_012E_x,B15002_032E_x,B15002_015E_x,state_x,county_x,tract_x,25_and_bachelors_x,percentage_of_bachelors_x,year_y,NAME_y,B01001_001E_y,B19013_001E_y,B25077_001E_y,B03002_003E_y,B03002_004E_y,B02001_004E_y,B03002_006E_y,B03002_007E_y,B03002_008E_y,B03002_009E_y,B03002_012E_y,B15002_032E_y,B15002_015E_y,state_y,county_y,tract_y,25_and_bachelors_y,percentage_of_bachelors_y,ed_chng,home_pct_change,has>500_start,has>500_end,median40start,median40income,ed_chng_upper_third,median_home_higher,median_home_topthird,eligible,gentrified
50,34003021200,2018,"Census Tract 212, Bergen County, New Jersey",5711.0,65417.0,335400.0,3811.0,69.0,0.0,158.0,0.0,0.0,10.0,1663.0,335.0,335.0,34,3,21200,670.0,0.1173174575380844,2009,"Census Tract 212, Bergen County, New Jersey",4498.0,52762.0,398900.0,3066.0,69.0,0.0,197.0,0.0,0.0,0.0,1166.0,226.0,193.0,34,3,21200,419.0,0.09315251222765673,0.024164945310427663,-0.39151162790697674,True,True,True,True,False,False,False,True,False
51,34003029100,2018,"Census Tract 291, Bergen County, New Jersey",4440.0,52094.0,300000.0,1436.0,133.0,0.0,1761.0,7.0,8.0,204.0,891.0,559.0,464.0,34,3,29100,1023.0,0.2304054054054054,2009,"Census Tract 291, Bergen County, New Jersey",3888.0,53822.0,327800.0,1384.0,158.0,0.0,1309.0,0.0,24.0,10.0,1003.0,381.0,390.0,34,3,29100,771.0,0.19830246913580246,0.03210293626960295,-0.27842,True,True,True,True,False,False,False,True,False
63,34003018100,2018,"Census Tract 181, Bergen County, New Jersey",7425.0,55958.0,340600.0,1897.0,90.0,57.0,242.0,0.0,40.0,179.0,4977.0,357.0,358.0,34,3,18100,715.0,0.0962962962962963,2009,"Census Tract 181, Bergen County, New Jersey",6935.0,32712.0,396400.0,2668.0,24.0,0.0,42.0,0.0,162.0,14.0,4025.0,341.0,192.0,34,3,18100,533.0,0.07685652487382841,0.01943977142246789,-0.3616793893129771,True,True,True,True,False,False,False,True,False
64,34003021300,2018,"Census Tract 213, Bergen County, New Jersey",4443.0,60255.0,320700.0,2941.0,70.0,0.0,121.0,0.0,0.0,177.0,1134.0,259.0,182.0,34,3,21300,441.0,0.09925725860904794,2009,"Census Tract 213, Bergen County, New Jersey",4152.0,51552.0,354600.0,2680.0,106.0,0.0,298.0,0.0,0.0,14.0,1054.0,211.0,284.0,34,3,21300,495.0,0.11921965317919075,-0.019962394570142816,-0.2936763330215154,True,True,True,True,False,False,False,True,False
66,34003023100,2018,"Census Tract 231, Bergen County, New Jersey",3234.0,58693.0,188900.0,720.0,679.0,8.0,313.0,0.0,7.0,77.0,1436.0,429.0,218.0,34,3,23100,647.0,0.20006184291898577,2009,"Census Tract 231, Bergen County, New Jersey",2638.0,54313.0,289100.0,546.0,463.0,0.0,415.0,0.0,0.0,0.0,1214.0,205.0,130.0,34,3,23100,335.0,0.1269901440485216,0.07307169887046416,-0.7906140815246162,True,True,True,True,True,False,False,True,False
71,34003036200,2018,"Census Tract 362, Bergen County, New Jersey",2739.0,65688.0,356700.0,1519.0,14.0,0.0,197.0,0.0,6.0,154.0,849.0,180.0,129.0,34,3,36200,309.0,0.11281489594742607,2009,"Census Tract 362, Bergen County, New Jersey",2765.0,50286.0,309400.0,1966.0,62.0,27.0,174.0,0.0,0.0,20.0,543.0,188.0,144.0,34,3,36200,332.0,0.12007233273056057,-0.007257436783134508,-0.014852817493692178,True,True,True,True,False,False,True,True,False
81,34003046300,2018,"Census Tract 463, Bergen County, New Jersey",4593.0,77833.0,316600.0,1557.0,312.0,23.0,480.0,8.0,9.0,74.0,2130.0,428.0,490.0,34,3,46300,918.0,0.1998693664271718,2009,"Census Tract 463, Bergen County, New Jersey",4510.0,49432.0,364700.0,1990.0,179.0,0.0,193.0,0.0,0.0,34.0,2114.0,295.0,369.0,34,3,46300,664.0,0.14722838137472283,0.05264098505244896,-0.3477542640555907,True,True,True,True,True,False,False,True,False
87,34003015400,2018,"Census Tract 154, Bergen County, New Jersey",6939.0,66177.0,312400.0,2069.0,1714.0,28.0,955.0,0.0,0.0,164.0,2031.0,603.0,599.0,34,3,15400,1202.0,0.17322380746505261,2009,"Census Tract 154, Bergen County, New Jersey",5381.0,45000.0,377900.0,1386.0,1995.0,17.0,123.0,0.0,0.0,65.0,1812.0,280.0,258.0,34,3,15400,538.0,0.09998141609366289,0.07324239137138973,-0.41531049935979514,True,True,True,True,True,False,False,True,False
89,34003019102,2018,"Census Tract 191.02, Bergen County, New Jersey",3337.0,82386.0,237300.0,1268.0,42.0,19.0,1520.0,0.0,0.0,82.0,406.0,601.0,452.0,34,3,19102,1053.0,0.3155528918189991,2009,"Census Tract 191.02, Bergen County, New Jersey",3159.0,51862.0,282900.0,1208.0,50.0,0.0,1176.0,0.0,10.0,83.0,632.0,512.0,357.0,34,3,19102,869.0,0.27508705286483065,0.04046583895416844,-0.3948293299620733,True,True,True,True,True,False,False,True,False
91,34003021400,2018,"Census Tract 214, Bergen County, New Jersey",5032.0,54963.0,342800.0,2660.0,306.0,0.0,253.0,0.0,0.0,81.0,1732.0,217.0,230.0,34,3,21400,447.0,0.08883147853736088,2009,"Census Tract 214, Bergen County, New Jersey",4289.0,49755.0,411300.0,2510.0,389.0,0.0,59.0,0.0,0.0,29.0,1302.0,169.0,180.0,34,3,21400,349.0,0.08137094893914665,0.0074605295982142356,-0.4037952158693114,True,True,True,True,False,False,False,True,False
