,geoid,year_x,NAME_x,B01001_001E_x,B19013_001E_x,B25077_001E_x,B03002_003E_x,B03002_004E_x,B02001_004E_x,B03002_006E_x,B03002_007E_x,B03002_008E_x,B03002_009E_x,B03002_012E_x,B15002_032E_x,B15002_015E_x,state_x,county_x,tract_x,25_and_bachelors_x,percentage_of_bachelors_x,year_y,NAME_y,B01001_001E_y,B19013_001E_y,B25077_001E_y,B03002_003E_y,B03002_004E_y,B02001_004E_y,B03002_006E_y,B03002_007E_y,B03002_008E_y,B03002_009E_y,B03002_012E_y,B15002_032E_y,B15002_015E_y,state_y,county_y,tract_y,25_and_bachelors_y,percentage_of_bachelors_y,ed_chng,home_pct_change,has>500_start,has>500_end,median40start,median40income,ed_chng_upper_third,median_home_higher,median_home_topthird,eligible,gentrified
199,34013008700,2018,"Census Tract 87, Essex County, New Jersey",3399.0,44302.0,286400.0,122.0,912.0,40.0,23.0,0.0,42.0,0.0,2300.0,244.0,220.0,34,13,8700,464.0,0.136510738452486,2009,"Census Tract 87, Essex County, New Jersey",4053.0,37705.0,215200.0,243.0,349.0,51.0,16.0,0.0,8.0,55.0,3382.0,86.0,106.0,34,13,8700,192.0,0.047372316802368614,0.0891384216501174,0.1208659217877096,True,True,True,True,True,True,True,True,True
215,34013006200,2018,"Census Tract 62, Essex County, New Jersey",1583.0,27564.0,87100.0,37.0,1036.0,15.0,17.0,0.0,0.0,78.0,415.0,78.0,45.0,34,13,6200,123.0,0.07770056854074542,2009,"Census Tract 62, Essex County, New Jersey",2026.0,33617.0,9500.0,34.0,1507.0,0.0,0.0,0.0,0.0,0.0,485.0,32.0,0.0,34,13,6200,32.0,0.01579466929911155,0.061905899241633866,0.8723880597014926,True,True,True,True,True,True,True,True,True
351,34017001202,2018,"Census Tract 12.02, Hudson County, New Jersey",1357.0,44886.0,381300.0,131.0,232.0,12.0,365.0,0.0,0.0,28.0,589.0,90.0,145.0,34,17,1202,235.0,0.17317612380250552,2009,"Census Tract 12.02, Hudson County, New Jersey",1456.0,26339.0,291000.0,509.0,319.0,0.0,200.0,0.0,0.0,28.0,400.0,102.0,18.0,34,17,1202,120.0,0.08241758241758242,0.0907585413849231,0.10708103855232101,True,True,True,True,True,True,True,True,True
372,34017004700,2018,"Census Tract 47, Hudson County, New Jersey",2777.0,61842.0,437300.0,668.0,605.0,0.0,146.0,0.0,33.0,29.0,1296.0,249.0,199.0,34,17,4700,448.0,0.1613251710478934,2009,"Census Tract 47, Hudson County, New Jersey",2593.0,40078.0,351700.0,311.0,754.0,0.0,0.0,0.0,0.0,0.0,1528.0,125.0,117.0,34,17,4700,242.0,0.09332819128422676,0.06799697976366664,0.059023553624514065,True,True,True,True,True,True,True,True,True
387,34017001000,2018,"Census Tract 10, Hudson County, New Jersey",1964.0,67826.0,362500.0,494.0,60.0,0.0,860.0,0.0,30.0,5.0,515.0,203.0,300.0,34,17,1000,503.0,0.2561099796334012,2009,"Census Tract 10, Hudson County, New Jersey",1687.0,54111.0,281300.0,773.0,72.0,0.0,300.0,32.0,48.0,0.0,462.0,184.0,185.0,34,17,1000,369.0,0.21873147599288678,0.03737850364051443,0.09208,True,True,True,True,True,True,True,True,True
390,34017003000,2018,"Census Tract 30, Hudson County, New Jersey",2855.0,41674.0,385400.0,753.0,442.0,9.0,544.0,0.0,22.0,0.0,1085.0,283.0,340.0,34,17,3000,623.0,0.21821366024518388,2009,"Census Tract 30, Hudson County, New Jersey",2962.0,24511.0,326000.0,499.0,742.0,19.0,753.0,0.0,0.0,0.0,949.0,218.0,271.0,34,17,3000,489.0,0.1650911546252532,0.05312250561993068,0.010326933056564609,True,True,True,True,True,True,True,True,True
445,34017001900,2018,"Census Tract 19, Hudson County, New Jersey",1481.0,60174.0,325800.0,225.0,130.0,10.0,1059.0,0.0,0.0,3.0,54.0,205.0,277.0,34,17,1900,482.0,0.32545577312626606,2009,"Census Tract 19, Hudson County, New Jersey",1532.0,34010.0,246600.0,231.0,13.0,0.0,864.0,0.0,0.0,0.0,424.0,137.0,100.0,34,17,1900,237.0,0.15469973890339425,0.1707560342228718,0.11441988950276243,True,True,True,True,True,True,True,True,True
753,34025808402,2018,"Census Tract 8084.02, Monmouth County, New Jersey",3457.0,77429.0,519800.0,2430.0,181.0,0.0,39.0,0.0,0.0,29.0,778.0,270.0,457.0,34,25,808402,727.0,0.2102979461961238,2009,"Census Tract 8084.02, Monmouth County, New Jersey",3488.0,55375.0,387000.0,2650.0,128.0,0.0,70.0,0.0,7.0,28.0,605.0,191.0,285.0,34,25,808402,476.0,0.13646788990825687,0.07383005628786693,0.1289149672951135,True,True,True,True,True,True,True,True,True
1278,36005036502,2018,"Census Tract 365.02, Bronx County, New York",2328.0,31893.0,584500.0,25.0,640.0,0.0,0.0,0.0,0.0,16.0,1647.0,87.0,75.0,36,5,36502,162.0,0.06958762886597938,2009,"Census Tract 365.02, Bronx County, New York",2118.0,29750.0,371600.0,0.0,597.0,0.0,23.0,0.0,0.0,0.0,1498.0,52.0,0.0,36,5,36502,52.0,0.024551463644948063,0.04503616522103132,0.2561642429426861,True,True,True,True,True,True,True,True,True
1310,36005015100,2018,"Census Tract 151, Bronx County, New York",5029.0,33700.0,425200.0,65.0,2271.0,0.0,0.0,0.0,0.0,16.0,2677.0,353.0,178.0,36,5,15100,531.0,0.10558759196659376,2009,"Census Tract 151, Bronx County, New York",5261.0,27000.0,360300.0,67.0,2265.0,0.0,0.0,0.0,79.0,0.0,2850.0,66.0,18.0,36,5,15100,84.0,0.01596654628397643,0.08962104568261733,0.008581843838193791,True,True,True,True,True,True,True,True,True
1311,36005015300,2018,"Census Tract 153, Bronx County, New York",4885.0,17438.0,398800.0,16.0,2288.0,0.0,111.0,0.0,0.0,0.0,2470.0,351.0,151.0,36,5,15300,502.0,0.10276356192425794,2009,"Census Tract 153, Bronx County, New York",3737.0,19809.0,336200.0,8.0,1834.0,11.0,39.0,0.0,7.0,19.0,1830.0,112.0,58.0,36,5,15300,170.0,0.04549103559004549,0.05727252633421245,0.013655967903711133,True,True,True,True,True,True,True,True,True
1318,36005008300,2018,"Census Tract 83, Bronx County, New York",6519.0,29939.0,416300.0,131.0,1095.0,28.0,348.0,0.0,18.0,43.0,4884.0,317.0,205.0,36,5,8300,522.0,0.0800736309249885,2009,"Census Tract 83, Bronx County, New York",6697.0,22585.0,339600.0,102.0,919.0,86.0,0.0,0.0,112.0,163.0,5315.0,94.0,38.0,36,5,8300,132.0,0.01971031805285949,0.06036331287212901,0.04556329570021619,True,True,True,True,True,True,True,True,True
1321,36005016900,2018,"Census Tract 169, Bronx County, New York",1513.0,28601.0,459600.0,31.0,726.0,0.0,0.0,0.0,0.0,0.0,756.0,71.0,28.0,36,5,16900,99.0,0.06543291473892927,2009,"Census Tract 169, Bronx County, New York",1926.0,15625.0,344200.0,15.0,1001.0,0.0,0.0,0.0,0.0,0.0,910.0,34.0,0.0,36,5,16900,34.0,0.017653167185877467,0.04777974755305181,0.12377284595300261,True,True,True,True,True,True,True,True,True
1322,36005017300,2018,"Census Tract 173, Bronx County, New York",5689.0,20464.0,448100.0,83.0,1204.0,0.0,154.0,0.0,0.0,56.0,4192.0,305.0,136.0,36,5,17300,441.0,0.07751801722622605,2009,"Census Tract 173, Bronx County, New York",4120.0,14862.0,333700.0,0.0,1792.0,0.0,154.0,0.0,0.0,0.0,2174.0,18.0,138.0,36,5,17300,156.0,0.037864077669902914,0.03965393955632313,0.12870118277170275,True,True,True,True,True,True,True,True,True
1350,36005037400,2018,"Census Tract 374, Bronx County, New York",3838.0,28431.0,531700.0,75.0,2083.0,0.0,25.0,0.0,48.0,42.0,1565.0,113.0,137.0,36,5,37400,250.0,0.06513809275664409,2009,"Census Tract 374, Bronx County, New York",3211.0,28715.0,256300.0,106.0,1380.0,0.0,62.0,0.0,0.0,21.0,1642.0,65.0,21.0,36,5,37400,86.0,0.02678293366552476,0.038355159091119334,0.4360146699266504,True,True,True,True,True,True,True,True,True
1358,36005005200,2018,"Census Tract 52, Bronx County, New York",2091.0,20833.0,320000.0,0.0,449.0,36.0,9.0,0.0,0.0,14.0,1619.0,86.0,62.0,36,5,5200,148.0,0.07077953132472502,2009,"Census Tract 52, Bronx County, New York",1989.0,28295.0,226400.0,49.0,636.0,0.0,0.0,0.0,0.0,215.0,1089.0,58.0,11.0,36,5,5200,69.0,0.03469079939668175,0.036088731928043266,0.172225,True,True,True,True,True,True,True,True,True
1477,36005033600,2018,"Census Tract 336, Bronx County, New York",6697.0,37188.0,253000.0,234.0,2743.0,24.0,125.0,0.0,28.0,0.0,3567.0,321.0,215.0,36,5,33600,536.0,0.0800358369419143,2009,"Census Tract 336, Bronx County, New York",6090.0,28444.0,139500.0,427.0,2477.0,10.0,103.0,0.0,70.0,68.0,2945.0,151.0,93.0,36,5,33600,244.0,0.04006568144499179,0.0399701554969225,0.3548814229249012,True,True,True,True,True,True,True,True,True
1487,36005021502,2018,"Census Tract 215.02, Bronx County, New York",6349.0,22926.0,378200.0,24.0,1507.0,13.0,0.0,0.0,14.0,55.0,4749.0,265.0,163.0,36,5,21502,428.0,0.06741219089620412,2009,"Census Tract 215.02, Bronx County, New York",6204.0,23361.0,157300.0,22.0,1658.0,17.0,74.0,0.0,0.0,42.0,4408.0,100.0,49.0,36,5,21502,149.0,0.024016763378465505,0.043395427517738616,0.5133765203595981,True,True,True,True,True,True,True,True,True
1490,36005026100,2018,"Census Tract 261, Bronx County, New York",1950.0,70733.0,161000.0,76.0,983.0,3.0,53.0,0.0,0.0,32.0,806.0,272.0,229.0,36,5,26100,501.0,0.2569230769230769,2009,"Census Tract 261, Bronx County, New York",2054.0,56389.0,136000.0,437.0,1152.0,12.0,43.0,0.0,0.0,0.0,422.0,112.0,110.0,36,5,26100,222.0,0.10808179162609542,0.14884128529698148,0.011677018633540372,True,True,True,True,True,True,True,True,True
