"","uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
"1",251758,"Austin","26U","other fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property",2009-01-01 00:00:00,-97.691086,30.299215,"government","government","484530003061003",NA,NA
"2",251937,"Austin","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-01-01 07:20:00,-97.88496,30.256578,"residence","residence","484530019082015",NA,NA
"3",252180,"Austin","12U","other robbery","robbery","property",2009-01-01 14:14:00,-97.672713,30.3085,"street","street","484530021123007",NA,NA
"4",252189,"Austin","90C","disorderly conduct","disorderly conduct","society",2009-01-01 14:35:00,-97.765588,30.436156,"vehicle parking","open space","484910204102013",NA,NA
"5",252420,"Austin","23H","all other larceny","larceny/theft offenses","property",2009-01-02 08:30:00,-97.692286,30.200241,"residence","residence","484530024312009",NA,NA
"6",253004,"Austin","23H","all other larceny","larceny/theft offenses","property",2009-01-03 20:10:00,-97.692259,30.370782,"gas station","retail","484530018233007",NA,NA
"7",253157,"Austin","23H","all other larceny","larceny/theft offenses","property",2009-01-04 02:40:00,-97.792778,30.184472,"convenience store","retail","484530024242019",NA,NA
"8",253328,"Austin","90F","family offenses, nonviolent","family offenses, nonviolent","society",2009-01-04 18:06:00,-97.780364,30.187035,"residence","residence","484530024222004",NA,NA
"9",253583,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property",2009-01-05 19:00:00,-97.760708,30.298313,"vehicle parking","open space","484530016035022",NA,NA
"10",253648,"Austin","90D","driving under the influence","driving under the influence","society",2009-01-05 23:58:00,-97.728499,30.235959,"street","street","484530023151001",NA,NA
"11",253749,"Austin","250","counterfeiting/forgery","counterfeiting/forgery","property",2009-01-06 12:00:00,-97.746936,30.326106,"residence","residence","484530001011005",NA,NA
"12",253783,"Austin","13A","aggravated assault","assault offenses","persons",2009-01-06 14:30:00,-97.721254,30.266896,"street","street","484530008042038",NA,NA
"13",253823,"Austin","22U","other burglary/breaking & entering","burglary/breaking & entering","property",2009-01-06 17:10:00,-97.815534,30.201461,"residence","residence","484530017281015",NA,NA
"14",253968,"Austin","90J","trespass of real property","trespass of real property","society",2009-01-07 03:38:00,-97.753925,30.268781,"construction","commercial","484530012002060",NA,NA
"15",253975,"Austin","90Z","all other offenses","all other offenses","other",2009-01-07 06:45:00,-97.69488,30.333761,"residence","residence","484530018123021",NA,NA
"16",253993,"Austin","90J","trespass of real property","trespass of real property","society",2009-01-07 08:10:00,-97.699694,30.347095,"residence","residence","484530018063001",NA,NA
"17",254509,"Austin","23H","all other larceny","larceny/theft offenses","property",2009-01-08 20:30:00,-97.807007,30.257886,"other retail","retail","484530019103019",NA,NA
"18",254643,"Austin","240","motor vehicle theft","motor vehicle theft","property",2009-01-09 06:55:00,-97.705171,30.397613,"vehicle parking","open space","484530018494002",NA,NA
"19",254660,"Austin","23H","all other larceny","larceny/theft offenses","property",2009-01-09 08:41:00,-97.762765,30.25532,"vehicle parking","open space","484530013032006",NA,NA
"20",254826,"Austin","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-01-09 18:11:00,-97.786159,30.444209,"vehicle parking","open space","484910204062014",NA,NA
"21",254899,"Austin","90Z","all other offenses","all other offenses","other",2009-01-09 22:00:00,-97.691142,30.372767,"vehicle parking","open space","484530018231000",NA,NA
"22",254946,"Austin","90F","family offenses, nonviolent","family offenses, nonviolent","society",2009-01-09 23:41:00,-97.720046,30.36993,"residence","residence","484530018181002",NA,NA
"23",255032,"Austin","90D","driving under the influence","driving under the influence","society",2009-01-10 02:45:00,-97.733364,30.247499,"street","street","484530023042005",NA,NA
"24",255318,"Austin","90E","drunkenness (except driving under the influence)","drunkenness (except driving under the influence)","society",2009-01-11 00:23:00,-97.745441,30.358546,"street","street","484530017522010",NA,NA
"25",255594,"Austin","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-01-12 04:00:00,-97.690629,30.375171,"vehicle parking","open space","484530018223010",NA,NA
"26",255657,"Austin","90G","liquor law violations (except driving under the influence and drunkenness)","liquor law violations (except driving under the influence and drunkenness)","society",2009-01-12 11:35:00,-97.753252,30.24237,"school","education","484530013053021",NA,NA
"27",255750,"Austin","13A","aggravated assault","assault offenses","persons",2009-01-12 17:36:00,-97.747893,30.438752,"other","other","484530017862001",NA,NA
"28",255920,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property",2009-01-13 09:30:00,-97.747897,30.397329,"vehicle parking","open space","484530017222007",NA,NA
"29",255986,"Austin","23H","all other larceny","larceny/theft offenses","property",2009-01-13 14:05:00,-97.728014,30.370977,"office","commercial","484530018171002",NA,NA
"30",256021,"Austin","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-01-13 16:30:00,-97.712816,30.319096,"street","street","484530015031019",NA,NA
"31",256071,"Austin","22U","other burglary/breaking & entering","burglary/breaking & entering","property",2009-01-13 18:36:00,-97.791292,30.20233,"other","other","484530024102008",NA,NA
"32",256388,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property",2009-01-14 19:00:00,-97.734603,30.359059,"office","commercial","484530018172017",NA,NA
