"-6735","29 AVENUE C, New York City, NY,  ","Match","Exact","29 AVE C, NEW YORK, NY, 10009","-73.98068,40.721592","59654746","L","36","061","002202","1001"
"4971","692 METROPOLITAN AVENUE, New York City, NY,  ","No_Match"
"3638","164 EAST 107 STREET, New York City, NY,  ","Match","Exact","164 E 107TH ST, NEW YORK, NY, 10029","-73.94527,40.792698","59657923","R","36","061","017200","4001"
"3639","105 WEST 55 STREET, New York City, NY,  ","Match","Exact","105 W 55TH ST, NEW YORK, NY, 10019","-73.97846,40.763165","59657116","R","36","061","013700","6000"
"2303","357 LINDEN STREET, New York City, NY,  ","No_Match"
"2301","2255 BENSON AVENUE, New York City, NY,  ","No_Match"
"4961","549 6 AVENUE, New York City, NY,  ","Match","Exact","549 6TH AVE, NEW YORK, NY, 10011","-73.99642,40.73794","59653509","L","36","061","008100","4000"
"3633","308 EAST 38 STREET, New York City, NY,  ","Match","Exact","308 E 38TH ST, NEW YORK, NY, 10016","-73.97327,40.746964","59654510","R","36","061","007800","6001"
"3634","230 WEST 16 STREET, New York City, NY,  ","Match","Exact","230 W 16TH ST, NEW YORK, NY, 10011","-73.99965,40.74027","650084140","L","36","061","008100","5000"
"-5403","400 RUGBY ROAD, New York City, NY,  ","No_Match"
"2309","92 MOTHER GASTON BOULEVAR, New York City, NY,  ","No_Match"
"4966","195 DRIGGS AVENUE, New York City, NY,  ","No_Match"
"3635","406 WEST 51 STREET, New York City, NY,  ","Match","Exact","406 W 51ST ST, NEW YORK, NY, 10019","-73.98887,40.764263","59655171","L","36","061","013300","3001"
"3636","92 GROVE STREET, New York City, NY,  ","Match","Exact","92 GROVE ST, NEW YORK, NY, 10014","-74.002014,40.73357","59661189","R","36","061","007100","5004"
"4967","862 UNION STREET, New York City, NY,  ","No_Match"
"2307","288 6 STREET, New York City, NY,  ","Match","Non_Exact","288 6TH AVE, NEW YORK, NY, 10014","-74.00191,40.730186","642471654","R","36","061","006500","3000"
"4968","5 SPENCER COURT, New York City, NY,  ","No_Match"
"-5400","34 BERRY STREET, New York City, NY,  ","No_Match"
"4982","506 WASHINGTON AVENUE, New York City, NY,  ","Match","Non_Exact","506 WASHINGTON ST, NEW YORK, NY, 10013","-74.00947,40.728397","59663506","L","36","061","003700","1002"
"2317","31 DIAMOND STREET, New York City, NY,  ","No_Match"
"1","136-45 37 AVENUE, New York City, NY,  ","No_Match"
"2","35-14 149 STREET, New York City, NY,  ","No_Match"
"2315","96 CLARKSON AVENUE, New York City, NY,  ","Match","Non_Exact","96 CLARKSON ST, NEW YORK, NY, 10014","-74.00685,40.72948","59665449","L","36","061","006700","4006"
"3","144-10 ROOSEVELT AVENUE, New York City, NY,  ","No_Match"
"2312","414 53 STREET, New York City, NY,  ","Tie"
"2310","2901 OCEAN PARKWAY, New York City, NY,  ","No_Match"
"8","140-30 BEECH AVENUE, New York City, NY,  ","No_Match"
"9","144-40 ROOSEVELT AVENUE, New York City, NY,  ","No_Match"
"3642","28 KING STREET, New York City, NY,  ","Match","Exact","28 KING ST, NEW YORK, NY, 10014","-74.00385,40.727726","59660098","L","36","061","003700","2005"
"3644","59 WEST 105 STREET, New York City, NY,  ","Match","Exact","59 W 105TH ST, NEW YORK, NY, 10025","-73.96228,40.798122","59656900","R","36","061","018900","4000"
"3645","76 WEST 82 STREET, New York City, NY,  ","Match","Exact","76 W 82ND ST, NEW YORK, NY, 10024","-73.97329,40.783573","59656756","L","36","061","016500","1000"
"3646","133 EAST 17 STREET, New York City, NY,  ","Match","Exact","133 E 17TH ST, NEW YORK, NY, 10003","-73.987076,40.735756","59653689","L","36","061","005000","5000"
"-5413","12 CLARK STREET, New York City, NY,  ","No_Match"
"3647","53 WEST 75 STREET, New York City, NY,  ","Match","Exact","53 W 75TH ST, NEW YORK, NY, 10023","-73.976234,40.778893","611185619","R","36","061","016100","3000"
"2319","425 101 STREET, New York City, NY,  ","No_Match"
"4979","1086 BROADWAY, New York City, NY,  ","No_Match"
"4990","6301 23 AVENUE, New York City, NY,  ","No_Match"
"4991","332 90 STREET, New York City, NY,  ","Tie"
"3662","219 EAST 25 STREET, New York City, NY,  ","Match","Exact","219 E 25TH ST, NEW YORK, NY, 10010","-73.98168,40.7399","59654541","L","36","061","006600","4000"
"2331","180 SCHOLES STREET, New York City, NY,  ","No_Match"
"2328","48 ST PAULS PLACE, New York City, NY,  ","No_Match"
"2327","249 BERRY STREET, New York City, NY,  ","No_Match"
"2324","1501 EAST 10 STREET, New York City, NY,  ","No_Match"
"2323","897 GRAND STREET, New York City, NY,  ","No_Match"
"2322","2770 OCEAN AVENUE, New York City, NY,  ","No_Match"
"3653","404 EAST 75 STREET, New York City, NY,  ","Match","Exact","404 E 75TH ST, NEW YORK, NY, 10021","-73.954445,40.769695","650156951","R","36","061","013200","4001"
"4989","5420 15 AVENUE, New York City, NY,  ","No_Match"
"-6753","155 WEST 81 STREET, New York City, NY,  ","Match","Exact","155 W 81ST ST, NEW YORK, NY, 10024","-73.976074,40.783913","59656670","R","36","061","016500","4000"
"3672","309 EAST 110 STREET, New York City, NY,  ","Match","Exact","309 E 110TH ST, NEW YORK, NY, 10029","-73.94021,40.793045","59658182","L","36","061","018000","2001"
"2342","350 SNEDIKER AVENUE, New York City, NY,  ","No_Match"
"2337","63 FT GREENE PLACE, New York City, NY,  ","Match","Non_Exact","63 GREENE ST, NEW YORK, NY, 10012","-74.00113,40.7229","642471907","L","36","061","004900","1009"
"1003","134 EAST 122 STREET, New York City, NY,  ","Match","Exact","134 E 122ND ST, NEW YORK, NY, 10035","-73.93943,40.802692","59658024","R","36","061","019600","1001"
"2334","261 GATES AVENUE, New York City, NY,  ","No_Match"
"2332","740 EMPIRE BOULEVARD, New York City, NY,  ","No_Match"
"3664","235 EAST 83 STREET, New York City, NY,  ","Match","Exact","235 E 83RD ST, NEW YORK, NY, 10028","-73.954575,40.776524","59658275","L","36","061","013800","1000"
"-6762","450 AVENUE OF THE AMERICA, New York City, NY,  ","No_Match"
"4996","125 HURON STREET, New York City, NY,  ","No_Match"
"4997","1290 EAST 19 STREET, New York City, NY,  ","No_Match"
"-4104","155 EAST 96 STREET, New York City, NY,  ","Match","Exact","155 E 96TH ST, NEW YORK, NY, 10128","-73.95068,40.78577","611222483","L","36","061","015802","1002"
"-5433","256 GATES AVENUE, New York City, NY,  ","No_Match"
"3681","225 WEST 71 STREET, New York City, NY,  ","Match","Exact","225 W 71ST ST, NEW YORK, NY, 10023","-73.98324,40.7784","650082301","R","36","061","015900","6001"
"2353","2145 OCEAN AVENUE, New York City, NY,  ","No_Match"
"2352","824 BERGEN STREET, New York City, NY,  ","No_Match"
"1019","7 RIVINGTON STREET, New York City, NY,  ","Match","Exact","7 RIVINGTON ST, NEW YORK, NY, 10002","-73.9928,40.72141","59653970","R","36","061","001800","5001"
"2348","85 GREENPOINT AVENUE, New York City, NY,  ","No_Match"
"1015","204 EAST 112 STREET, New York City, NY,  ","Match","Exact","204 E 112TH ST, NEW YORK, NY, 10029","-73.94162,40.795296","59658055","R","36","061","018000","3000"
"2345","637 BUSHWICK AVENUE, New York City, NY,  ","No_Match"
"3675","160 WEST 84 STREET, New York City, NY,  ","Match","Exact","160 W 84TH ST, NEW YORK, NY, 10024","-73.97483,40.785877","59656749","L","36","061","016900","4000"
"3693","343 WEST 14 STREET, New York City, NY,  ","Match","Exact","343 W 14TH ST, NEW YORK, NY, 10014","-74.00376,40.74028","634256906","R","36","061","008300","2002"
