X.1,Average Sales Price,Median Sales Price
1Q-2010,532061,466000
2Q-2010,545111,463000
3Q-2010,583790,485504
4Q-2010,572892,475000
1Q-2011,569799,475000
2Q-2011,574387,480000
3Q-2011,607867,510000
4Q-2011,529640,454383
1Q-2012,565291,450000
2Q-2012,585777,477108
3Q-2012,614437,506000
4Q-2012,613650,512500
1Q-2013,634594,515000
2Q-2013,671964,550000
3Q-2013,694777,564720
4Q-2013,688334,570110
1Q-2014,681182,520000
2Q-2014,783296,575000
3Q-2014,726100,587515
4Q-2014,756569,585000
1Q-2015,749269,610894
2Q-2015,788529,605000
3Q-2015,856839,676250
4Q-2015,808121,650000
1Q-2016,795409,662431
2Q-2016,816827,659000
3Q-2016,983511,735000
4Q-2016,947553,750000
1Q-2017,993955,770000
2Q-2017,997654,795000
3Q-2017,981623,790000
4Q-2017,948706,770000
1Q-2018,982093,795000
2Q-2018,984047,780000
3Q-2018,1051999,808000
4Q-2018,998050,785000
1Q-2019,964324,765000
2Q-2019,1030200,815000
3Q-2019,977259,790000
