X.1,Bronx,Brooklyn,Manhattan,Queens,Staten Island
1Q-2010,667,1861,2420,3113,784
2Q-2010,845,1931,2840,3972,817
3Q-2010,653,1879,2703,3110,746
4Q-2010,520,1468,2325,2483,720
1Q-2011,591,2373,2460,2598,730
2Q-2011,601,1942,2713,2361,697
3Q-2011,627,2219,3174,2743,525
4Q-2011,588,1558,2054,2003,536
1Q-2012,380,1807,2358,2176,257
2Q-2012,427,1988,2713,2306,353
3Q-2012,663,2171,3020,2509,691
4Q-2012,646,1445,2688,1914,206
1Q-2013,611,1608,2516,2377,850
2Q-2013,701,1855,3222,2493,913
3Q-2013,785,2119,3906,2744,1074
4Q-2013,860,1752,3353,3344,1110
1Q-2014,643,1572,3383,3156,954
2Q-2014,816,2086,3414,2404,1045
3Q-2014,875,2077,3402,2213,1179
4Q-2014,930,1697,2776,2590,1084
1Q-2015,795,1507,2720,2567,999
2Q-2015,900,1556,2735,2539,1162
3Q-2015,1029,2368,3730,3642,1496
4Q-2015,1098,2112,3030,3436,1583
1Q-2016,980,1912,2936,2517,1173
2Q-2016,1091,1888,2792,2611,1313
3Q-2016,1086,2741,3042,3750,1630
4Q-2016,990,2582,2903,3917,1114
1Q-2017,1053,2800,2966,3395,1404
2Q-2017,1196,2845,3219,3659,1468
3Q-2017,1164,2914,3431,3865,1573
4Q-2017,1302,2627,2552,3672,1619
1Q-2018,1111,2411,2232,3302,1337
2Q-2018,1171,2683,2694,3421,1483
3Q-2018,1294,2898,3041,3672,1517
4Q-2018,1221,2474,2493,3248,1509
1Q-2019,1041,2216,2175,2907,1117
2Q-2019,1115,2561,3016,3022,1233
3Q-2019,1062,2596,2598,3416,1101
